ZB4|Vernieteter Kettenkragen (6 mm)|XIV.–XVI. Jahrhundert|18g. Vernietete Ringe (Ø 6 mm) abwechselnd mit ebenen festen Ringen (Ø 6 mm).|155|other|zb4m.jpg|2|zb4v.JPG;zb4v2.JPG
GA1|Einfache Eisenhandschuhe|XIV.–XV. Jahrhundert|Standardmodell.|253|gauntlets|rukavice.jpg|1|palcv.jpg
GA2|Spätmittelalterliche Eisenhandschuhe|2. Hälfte XV. Jahrhundert|Standardmodell.|440|gauntlets|rukavice2.jpg|1|rukavice2_v.jpg
GA4|Spätmittelalterliche Eisenhandschuhe (italienisch)|2. Hälfte XV. Jahrhundert|Standardmodell.|485|gauntlets|gantelet4m.jpg|2|gantelet4v.jpg;gantelet4v2.jpg
GA6|Spätmittelalterliche Eisenhandschuhe|2. Hälfte XV. Jahrhundert|Hochverziert.|1090|gauntlets|gantelet6m.jpg|4|gantelet6v.jpg;gantelet6va.jpg;gantelet6vb.jpg;gantelet6vc.jpg
GA7|Spätmittelalterliche Eisenhandschuhe (deutsch)|Deutschland · 2. Hälfte XV. Jahrhundert|Verziert.|1045|gauntlets|ga7m.jpg|4|ga7.jpg;ga7v1.jpg;ga7v2.jpg;ga7v4.jpg
GA8|Spätmittelalterliche Eisenhandschuhe|XV. Jahrhundert|Standardmodell.|299|gauntlets|GA8m.jpg|1|GA8v.jpg
GA9|Spätmittelalterliche Eisenhandschuhe|XV. Jahrhundert|Gehärteter Federstahl. Das Original ist im Besitz des Bayerischen Armeemuseums, Ingolstadt, Deutschland.|649|gauntlets|ga9m.jpg|2|ga9v.jpg;ga9v2.jpg
GA10|Einfache Eisenhandschuhe|XIV. Jahrhundert|Standardmodell.|220|gauntlets|ga10m.jpg|1|ga10v.jpg
GA11|Spätmittelalterliche Eisenhandschuhe|Deutschland · 2. Hälfte XV. Jahrhundert|Das Original ist im Besitz des Cleveland Museum of Art, Cleveland, USA.|420|gauntlets|ga11m.jpg|3|ga11v.JPG;ga11v2.JPG;ga11v3.jpg
AR5|Kürass (Brust- und Rückenpanzer)|Deutschland · 2. Hälfte des XV. Jahrhunderts|Replik. Die originale Brustplatte ist im Besitz des Deutschen Historischen Museums, Berlin, die Rückenplatte des Bayerischen Armeemuseums, Ingolstadt, Deutschland.|2285|body|ar5m.jpg|5|ar5v.jpg;ar5v2.jpg;ar5v3.jpg;ar5v4.jpg;ar5v5.jpg
AR6|Brustplatte|XV. Jahrhundert|1,5 mm Materialstärke.|499|body|ar6m.jpg|4|ar6v.jpg;ar6v2.jpg;ar6v3a.jpg;ar6v4.jpg
AR7|Eisenschultern mit Ellenbogen und Unterarmen|Spätes XV. Jahrhundert|Standardmodell.|530|arms|ar7m.jpg|2|ar7v.jpg;ar7v2.jpg
AR8|Schultern mit Armen|Spätes XIV.–Anfang XV. Jahrhundert|Ähnliche Rüstungsteile sind im Besitz des Metropolitan Museum of Art, New York, USA.|530|arms|ar8m.JPG|2|ar8v.JPG;ar8v2.jpg
AR9|Beinzeug (Oberschenkel)|Spätes XIV.–Anfang XV. Jahrhundert|Ähnliche Rüstungsteile sind im Besitz des Metropolitan Museum of Art, New York, USA.|520|legs|ar9m.JPG|2|ar9v.JPG;ar9v2.JPG
AR1|Eisenschultern mit Ellenbogen|Spätes XV. Jahrhundert|Standardmodell.|462|arms|Bras.jpg|2|BrasV.jpg;bras2.jpg
AR2|Eisenschultern ohne Ellenbogen|Spätes XV. Jahrhundert|Standardmodell.|363|arms|ramena2.jpg|1|ramena2_v.jpg
AR4|Beinzeug (Oberschenkel)|2. Hälfte des XV. Jahrhunderts|Standardmodell.|1289|legs|ar4m.jpg|4|ar4v.jpg;ar4v2.jpg;ar4v3.jpg;ar4v4.jpg
AR3|Beinzeug|Spätes XV. Jahrhundert|Preis inklusive Schienbeinblech.|913|legs|Jambem.jpg|1|Jambe.jpg
